City,URL1,Address,Coordinates,PhoneNumber,Company_Name,Search_Query
Durlach,https://www.boschcarservice.com,"Bosch Car Service Deutschland, Auf d. Breit 4, 76227 Karlsruhe, Germany","49.0174301, 8.4758842",491802606162,Bosch Car Service Deutschland,"Bosch Car Service, Deutschland"
,https://www.bichlmaier.de,,"47.744082, 12.901333699999999",498651762090,Auto body shop,"Bosch Car Service, Deutschland"
Klein-Krotzenburg,https://www.boschautomotiveservicesolutions.com,"Bosch Automotive Service Solutions GmbH, Porschestraße 4, 63512 Hainburg, Germany","50.0642778, 8.9657959",4961829590,Bosch Automotive Service Solutions GmbH,"Bosch Car Service, Deutschland"
Reutin,http://www.bauer-lindau.de,"Bosch-Car-Service Bauer, Heuriedweg 18, 88131 Lindau, Germany","47.5531242, 9.7118562",49838296030,Bosch-Car-Service Bauer,"Bosch Car Service, Deutschland"
,http://www.bosch-ludowicy.de,,"50.224059999999994, 6.64711",49659195190,Bosch Car Service Ludowicy GmbH,"Bosch Car Service, Deutschland"
,http://boschcarservice.com,,"49.4425716, 7.7159021999999995",4963141486230,Bosch Service - Car Service,"Bosch Car Service, Deutschland"
Old-West,https://www.mezger.de,"Bosch Service Mezger - KFZ-Meisterwerkstatt Leipzig, Schomburgkstraße 7, 04179 Leipzig, Germany","51.338192199999995, 12.2990827",4934144870,Bosch Service Mezger - KFZ-Meisterwerkstatt Leipzig,"Bosch Car Service, Deutschland"
Untereschbach,https://bosch24.de,"Bosch Car Service, Schulstraße 23, 51491 Overath, Germany","50.950244899999994, 7.220650099999999",49220420190,Bosch Car Service,"Bosch Car Service, Deutschland"
Stuttgart-West,https://kfzwerkstatt.io,"Bosch Car Service Filiale, Lerchenstraße 57, 70176 Stuttgart, Germany","48.7807898, 9.1599",497112597695,Bosch Car Service Filiale,"Bosch Car Service, Deutschland"
Hernals,http://www.bosch1170.at,"Bosch Auto Service Center Kalvarienberg, Kalvarienberggasse 62, 1170 Wien, Austria","48.222107699999995, 16.3349717",4314054848,Bosch Auto Service Center Kalvarienberg,"Bosch Car Service, Österreich"
Liesing,https://www.autoludwig.at,"Auto Ludwig Reparatur GmbH - Bosch Car Service, Triester Str. 172, 1230 Wien, Austria","48.1449277, 16.3318168",43166202421721,Auto Ludwig Reparatur GmbH - Bosch Car Service,"Bosch Car Service, Österreich"
,https://www.elha-cars.at,,"46.5930677, 13.8423505",43424244007,Autohaus Elha Bosch Car Service Villach,"Bosch Car Service, Österreich"
Lustenau,http://kfz-zitta.at,"Zitta Robert e.U. Bosch Car Service, Hollabererstraße 5, 4020 Linz, Austria","48.3013985, 14.3272684",43732650000,Zitta Robert e.U. Bosch Car Service,"Bosch Car Service, Österreich"
,http://www.mds-pasic.at,,"47.998926999999995, 16.4787744",436606803179,KFZ Pasic e.U. Bosch Car Service,"Bosch Car Service, Österreich"
,http://www.falch.co.at,,"47.3968262, 11.8181661",4352446900,Bosch Service,"Bosch Car Service, Österreich"
,http://www.kfz-ebi.at,,"47.8191492, 13.0558075",43662873290,Bosch Service EBI Kfz-Meisterbetrieb Dereyurt Huseyin,"Bosch Car Service, Österreich"
